iter	Passed	Remaining
459	787	924
460	788	921
461	789	918
462	790	916
463	791	913
464	792	911
465	793	909
466	794	906
467	795	904
468	796	901
469	797	899
470	798	896
471	799	894
472	800	892
473	801	889
474	802	887
475	803	884
476	804	881
477	805	879
478	806	877
479	807	874
480	808	872
481	809	870
482	810	867
483	811	865
484	812	862
485	813	860
486	814	858
487	815	855
488	816	853
489	817	851
490	818	848
491	819	846
492	820	844
493	821	841
494	822	839
495	823	837
496	824	834
497	825	832
498	826	830
499	827	827
500	828	825
501	829	822
502	830	820
503	831	818
504	832	816
505	833	813
506	834	811
507	835	809
508	836	807
509	838	805
510	839	803
511	840	801
512	841	798
513	842	796
514	843	794
515	844	791
516	845	789
517	846	787
518	847	785
519	848	783
520	849	780
521	850	778
522	851	776
523	852	774
524	853	772
525	854	770
526	855	767
527	856	765
528	857	763
529	858	761
530	859	759
531	860	757
532	861	754
533	862	752
534	863	750
535	864	748
536	865	746
537	866	744
538	867	742
539	868	740
540	870	738
541	872	737
542	873	735
543	874	733
544	875	731
545	876	729
546	878	727
547	879	725
548	880	723
549	881	721
550	883	720
551	885	718
552	886	716
553	887	714
554	889	713
555	891	711
556	893	710
557	894	708
558	896	706
559	897	705
560	899	703
561	900	701
562	901	699
563	904	699
564	905	697
565	906	695
566	908	693
567	909	691
568	911	690
569	914	689
570	915	687
571	916	686
572	918	684
573	919	682
574	920	680
575	922	679
576	924	677
577	925	675
578	926	673
579	927	671
580	929	670
581	930	668
582	931	666
583	932	664
584	933	662
585	934	660
586	936	659
587	937	657
588	939	655
589	941	653
590	942	652
591	943	650
592	944	648
593	947	647
594	949	646
595	950	644
596	952	642
597	953	640
598	954	639
599	956	637
600	957	635
601	958	633
602	959	631
603	960	630
604	962	628
605	963	626
606	965	624
607	966	622
608	967	621
609	968	619
610	970	617
611	971	615
612	972	613
613	974	612
614	975	610
615	976	608
616	978	607
617	979	605
618	980	603
619	981	601
620	983	599
621	984	598
622	985	596
623	987	594
624	989	593
625	992	593
626	994	591
627	995	589
628	996	588
629	998	586
630	999	584
631	1000	582
632	1001	580
633	1002	578
634	1003	577
635	1005	575
636	1006	573
637	1007	571
638	1008	569
639	1009	567
640	1010	566
641	1011	564
642	1012	562
643	1014	560
644	1015	558
645	1016	557
646	1018	555
647	1019	553
648	1020	552
649	1022	550
650	1023	548
651	1024	546
652	1025	545
653	1026	543
654	1027	541
655	1029	539
656	1030	537
657	1031	536
658	1033	534
659	1035	533
660	1036	531
661	1038	530
662	1040	528
663	1041	527
664	1042	525
665	1043	523
666	1045	522
667	1046	520
668	1048	518
669	1049	517
670	1051	515
671	1052	513
672	1053	511
673	1054	510
674	1055	508
675	1056	506
676	1060	505
677	1062	504
678	1063	502
679	1064	500
680	1065	499
681	1067	497
682	1068	495
683	1069	494
684	1072	493
685	1073	491
686	1074	489
687	1078	489
688	1080	487
689	1081	485
690	1082	484
691	1083	482
692	1084	480
693	1086	479
694	1088	477
695	1089	475
696	1090	474
697	1092	472
698	1093	470
699	1094	469
700	1095	467
701	1096	465
702	1098	463
703	1099	462
704	1100	460
705	1102	458
706	1103	457
707	1104	455
708	1106	454
709	1107	452
710	1108	450
711	1109	448
712	1110	447
713	1111	445
714	1113	443
715	1114	442
716	1116	440
717	1117	439
718	1119	437
719	1120	435
720	1122	434
721	1123	432
722	1124	430
723	1125	429
724	1127	427
725	1128	426
726	1130	424
727	1131	422
728	1132	421
729	1134	419
730	1135	417
731	1136	416
732	1137	414
733	1138	412
734	1140	411
735	1141	409
736	1142	407
737	1145	406
738	1146	404
739	1147	403
740	1148	401
741	1149	399
742	1150	398
743	1151	396
744	1152	394
745	1154	392
746	1155	391
747	1157	389
748	1158	388
749	1159	386
750	1160	384
751	1161	383
752	1162	381
753	1163	379
754	1165	378
755	1166	376
756	1167	374
757	1168	373
758	1169	371
759	1171	370
760	1172	368
761	1173	366
762	1175	365
763	1176	363
764	1177	361
765	1178	359
766	1179	358
767	1180	356
768	1181	354
769	1182	353
770	1184	351
771	1185	350
772	1186	348
773	1187	346
774	1189	345
775	1190	343
776	1191	341
777	1192	340
778	1193	338
779	1194	336
780	1195	335
781	1197	333
782	1199	332
783	1200	330
784	1201	329
785	1202	327
786	1203	325
787	1204	324
788	1205	322
789	1206	320
790	1208	319
791	1209	317
792	1211	316
793	1213	314
794	1214	313
795	1216	311
796	1217	310
797	1218	308
798	1219	306
799	1220	305
800	1221	303
801	1222	301
802	1223	300
803	1224	298
804	1226	297
805	1227	295
806	1228	293
807	1230	292
808	1231	290
809	1232	289
810	1233	287
811	1234	285
812	1235	284
813	1236	282
814	1238	281
815	1239	279
816	1240	277
817	1241	276
818	1244	274
819	1245	273
820	1246	271
821	1247	270
822	1249	268
823	1250	266
824	1251	265
825	1252	263
826	1254	262
827	1255	260
828	1256	259
829	1257	257
830	1258	255
831	1259	254
832	1260	252
833	1261	251
834	1262	249
835	1264	247
836	1265	246
837	1266	244
838	1268	243
839	1268	241
840	1270	240
841	1271	238
842	1272	236
843	1273	235
844	1274	233
845	1275	232
846	1276	230
847	1277	229
848	1279	227
849	1280	225
850	1281	224
851	1282	222
852	1283	221
853	1284	219
854	1286	218
855	1287	216
856	1288	214
857	1289	213
858	1290	211
859	1293	210
860	1294	209
861	1296	207
862	1297	205
863	1298	204
864	1299	202
865	1300	201
866	1301	199
867	1302	198
868	1303	196
869	1304	194
870	1305	193
871	1307	191
872	1308	190
873	1309	188
874	1310	187
875	1311	185
876	1312	184
877	1314	182
878	1315	181
879	1317	179
880	1318	178
881	1320	176
882	1322	175
883	1325	173
884	1326	172
885	1328	170
886	1329	169
887	1330	167
888	1332	166
889	1333	164
890	1335	163
891	1337	161
892	1338	160
893	1340	158
894	1342	157
895	1343	155
896	1344	154
897	1345	152
898	1346	151
899	1348	149
900	1349	148
901	1351	146
902	1352	145
903	1353	143
904	1354	142
905	1355	140
906	1356	139
907	1357	137
908	1358	136
909	1359	134
910	1361	132
911	1362	131
912	1364	130
913	1365	128
914	1366	126
915	1368	125
916	1369	123
917	1370	122
918	1371	120
919	1372	119
920	1373	117
921	1375	116
922	1376	114
923	1378	113
924	1379	111
925	1381	110
926	1382	108
927	1384	107
928	1385	105
929	1386	104
930	1387	102
931	1388	101
932	1390	99
933	1392	98
934	1393	96
935	1395	95
936	1396	93
937	1398	92
938	1399	90
939	1400	89
940	1401	87
941	1403	86
942	1404	84
943	1405	83
944	1407	81
945	1408	80
946	1409	78
947	1410	77
948	1412	75
949	1413	74
950	1414	72
951	1415	71
952	1416	69
953	1420	68
954	1421	66
955	1422	65
956	1423	63
957	1424	62
958	1425	60
959	1426	59
960	1427	57
961	1429	56
962	1430	54
963	1431	53
964	1433	51
965	1434	50
966	1435	48
967	1436	47
968	1437	45
969	1438	44
970	1439	42
971	1440	41
972	1441	39
973	1442	38
974	1443	37
975	1444	35
976	1445	34
977	1446	32
978	1447	31
979	1448	29
980	1450	28
981	1451	26
982	1452	25
983	1453	23
984	1454	22
985	1455	20
986	1456	19
987	1457	17
988	1458	16
989	1459	14
990	1460	13
991	1461	11
992	1462	10
993	1463	8
994	1464	7
995	1465	5
996	1466	4
997	1467	2
998	1468	1
999	1469	0
